name,unit,6961d6c6a44e47d3e2457a3b4af50b269273469b
Synthetic.Categories.StrictificationComposition,s,0.5
Algebra.Lattice.Instances.Prop,s,0.48
Core.FlatteningPushouts,s,0.47
Synthetic.Categories.Groupoids,s,0.46
Synthetic.Categories.PushoutJoins,s,0.45
Core.UniversalFibrations,s,0.45
Foundations.SigmaProperties,s,0.44
Foundations.PullbackIdentity,s,0.44
Synthetic.Simplicial,s,0.43
Core.Orthogonal,s,0.42
Modalities.Instances.Nullification,s,0.41
Modalities.Cohesion.Sharp,s,0.39
Modalities.HigherModalities,s,0.39
Ergonomics.Extensionality,s,0.39
Core.FlatteningCoequalisers,s,0.37
Core.FlatteningSequentialColimits,s,0.37
Synthetic.Categories.CovariantClosure,s,0.37
Foundations.CanonicalPullbacks,s,0.36
Synthetic.Categories.RightSegal,s,0.35
Synthetic.Boundaries,s,0.35
Core.LeibnizAdjunction,s,0.34
Synthetic.Categories.ContravariantFamilies,s,0.34
Foundations.CompositionEquiv,s,0.33
Core.SetQuotients,s,0.32
Foundations.Squares,s,0.32
Synthetic.Disjunctive,s,0.31
Foundations.Embeddings,s,0.31
Foundations.FunExt,s,0.29
Synthetic.Categories.Yoneda,s,0.28
Synthetic.Categories.UniversalElements,s,0.27
Axioms.FreeAlgebraicInjectives,s,0.27
Modalities.ModalEquivalences,s,0.26
Core.Codiagonals,s,0.26
Core.Small,s,0.25
Foundations.Reasoning,s,0.25
Modalities.Lex,s,0.24
Axioms.CanonicalPushouts,s,0.23
Foundations.NullHomotopy,s,0.22
Foundations.TotalEquiv,s,0.21
Foundations.Functions,s,0.21
Foundations.Retracts,s,0.21
Foundations.6for2,s,0.21
Foundations.CanonicalEqualisers,s,0.21
Synthetic.Categories.NaturalTransformations,s,0.2
Foundations.IsEquivIsProp,s,0.2
Core.Images,s,0.2
Synthetic.Categories.Initial,s,0.19
Synthetic.Categories.AlgebraicLaws,s,0.19
Core.Slices,s,0.19
Modalities.Cohesion.Continuity,s,0.19
Modalities.Cohesion.FlatLex,s,0.18
Foundations.IdentitySystems,s,0.18
Core.Coslices,s,0.18
Foundations.Identity,s,0.17
Foundations.SigmaIdentity,s,0.17
Foundations.Pullbacks,s,0.17
Algebra.Lattice.Instances.Free.Inductive,s,0.17
Modalities.Cohesion.Flat,s,0.17
Foundations.DependentCocones,s,0.16
Modalities.Cohesion.Connectivity,s,0.15
Axioms.UF,s,0.14
Foundations.PathSplit,s,0.14
Modalities.Cohesion.LiftingSquares,s,0.14
Foundations.TypeFamilies,s,0.14
Foundations.DependentIdentity,s,0.13
Ergonomics.Representation,s,0.13
Foundations.3for2,s,0.13
Everything,s,0.12
Foundations.Cotowers,s,0.12
Core.GlobalClassesMaps,s,0.12
Modalities.ConnectedTypes,s,0.12
Foundations.CompositionFibres,s,0.11
Core.Postwhisker,s,0.11
Core.Suspensions,s,0.11
Core.LiftingSquares,s,0.1
Foundations.BiinvertibleMaps,s,0.1
Core.ExtPullbacks,s,0.1
Modalities.Instances.Open,s,0.1
Foundations.Towers,s,0.1
Foundations.Spans,s,0.09
Core.PushoutSumsFamilies,s,0.09
Foundations.Straightening,s,0.09
Foundations.FunExtFromUnivalence,s,0.09
Foundations.HomotopyEquiv,s,0.08
Foundations.ExtensionsMaps,s,0.08
Ergonomics.TCM,s,0.08
Core.PullbackPowersFamilies,s,0.08
Core.PiSection,s,0.08
Core.Surjections,s,0.08
Foundations.PropExt,s,0.07
Algebra.Lattice.Instances.Bool,s,0.07
Foundations.FibrewiseEquivalences,s,0.07
Ergonomics.Universal,s,0.07
Ergonomics.Marker,s,0.07
Algebra.Lattice.Instances.Pointwise,s,0.07
Synthetic.Categories.Adjoints,s,0.07
Foundations.QuasiEquivalences,s,0.07
Foundations.Univalence,s,0.07
Foundations.Subtypes,s,0.07
Foundations.UnitUP,s,0.06
Foundations.FunctionInverses,s,0.06
Foundations.IdentityEquiv,s,0.06
Foundations.FibreIdentity,s,0.06
Foundations.SingletonFibres,s,0.05
Foundations.Nat,s,0.05
Modalities.Factorisation,s,0.05
Foundations.Currying,s,0.05
Foundations.TheoremOfChoice,s,0.05
Foundations.SingletonClosure,s,0.05
Synthetic.Cubes,s,0.05
Modalities.GlobalSubuniverses,s,0.05
Ergonomics.Term,s,0.04
Foundations.EquivHomotopy,s,0.04
Foundations.Coproducts,s,0.04
Modalities.ModalMaps,s,0.04
Foundations.SubtypeEquiv,s,0.04
Foundations.DependentHomotopy,s,0.03
Foundations.Singletons,s,0.03
Foundations.EquivSingleton,s,0.03
Foundations.EmptyUP,s,0.03
Foundations.PropMapEmbedding,s,0.03
Foundations.SingletonProp,s,0.03
Foundations.Pointed,s,0.03
Algebra.Poset,s,0.03
Foundations.Prelude,s,0.03
Foundations.Epifunctions,s,0.02
Foundations.Pushouts,s,0.02
Core.Spheres,s,0.02
Foundations.NatIdentity,s,0.02
Foundations.PropClosure,s,0.02
Foundations.List,s,0.02
Foundations.Sigma,s,0.02
Ergonomics.Fixity,s,0.02
Foundations.TruncationLevels,s,0.02
Ergonomics.Notations.Orthogonality,s,0.02
Ergonomics.Literal,s,0.02
Ergonomics.Meta,s,0.02
Foundations.UniverseLifts,s,0.02
Foundations.IdentityReasoning,s,0.02
Ergonomics.Name,s,0.02
Ergonomics.Auto,s,0.02
Ergonomics.Literals,s,0.02
Foundations.SequentialColimits,s,0.01
Foundations.Forks,s,0.01
Foundations.EquivOfSingleton,s,0.01
Foundations.Bool,s,0.01
Agda.Primitive.Cubical,s,0.01
Foundations.Maybe,s,0.01
